Id,Title,Filename,Book
0,Who Is an Addict?,readings/na/opening-readings/who-is-an-addict.html,FALSE
1,What Is the NA Program?,readings/na/opening-readings/what-is-the-na-program.html,FALSE
2,Why Are We Here?,readings/na/opening-readings/why-are-we-here.html,FALSE
3,How It Works?,readings/na/opening-readings/how-it-works.html,FALSE
4,We Do Recover,readings/na/opening-readings/we-do-recover.html,FALSE
5,Just for Today,readings/na/opening-readings/just-for-today.html,FALSE
6,The Promises,readings/na/opening-readings/the-promises.html,FALSE
