Id,Title,Filename,Book
0,The Preamble,readings/aa/opening-readings/the-preamble.html,FALSE
1,How it Works,readings/aa/opening-readings/how-it-works.html,FALSE
2,More about Alcoholism,readings/aa/opening-readings/more-about-alcoholism.html,FALSE
3,Just for Today,readings/aa/opening-readings/just-for-today.html,FALSE
4,Self-Support / 7th Tradition,readings/aa/opening-readings/self-support-7th-tradition.html,FALSE
5,Open Meeting Statement,readings/aa/opening-readings/open-meeting-statement.html,FALSE
6,Closed Meeting Statement,readings/aa/opening-readings/closed-meeting-statement.html,FALSE
7,The Promises,readings/aa/opening-readings/the-promises.html,FALSE
