Id,Title,Filename,Book
0,The Preamble,readings/oa/opening-readings/the-preamble.html,FALSE
1,How it Works,readings/oa/opening-readings/how-it-works.html,FALSE
2,More about Alcoholism,readings/oa/opening-readings/more-about-alcoholism.html,FALSE
3,Just for Today,readings/oa/opening-readings/just-for-today.html,FALSE
4,Self-Support / 7th Tradition,readings/oa/opening-readings/self-support-7th-tradition.html,FALSE
5,Open Meeting Statement,readings/oa/opening-readings/open-meeting-statement.html,FALSE
6,Closed Meeting Statement,readings/oa/opening-readings/closed-meeting-statement.html,FALSE
