Id,Title,Filename,Book
0,The Preamble,readings/ca/opening-readings/the-preamble.html,FALSE
1,We Can Recover,readings/ca/opening-readings/we-can-recover.html,FALSE
2,Who is a Cocaine Addict?,readings/ca/opening-readings/who-is-a-cocaine-addict.html,FALSE
3,Who is a CA Member?,readings/ca/opening-readings/who-is-a-ca-member.html,FALSE
4,Reaching Out,readings/ca/opening-readings/reaching-out.html,FALSE
5,Alcohol,readings/ca/opening-readings/alcohol.html,FALSE
6,Unity,readings/ca/opening-readings/unity.html,FALSE
7,The Promises,readings/ca/opening-readings/the-promises.html,FALSE
