Id,Title,Filename,PageStart,PageEnd,PageStartPdf,PageEndPdf,SplitBook
0,"Title Page through page 17
p. 1-17",https://www.aa.org/sites/default/files/2021-10/b-7_livingsober_1-17.pdf,1,17,1,17,FALSE
1,Pages 18-32,https://www.aa.org/sites/default/files/2021-10/b-7_livingsober_18-32.pdf,18,32,18,32,FALSE
2,Pages 33-49,https://www.aa.org/sites/default/files/2021-10/b-7_livingsober_33-49.pdf,33,49,33,49,FALSE
3,Pages 50-63,https://www.aa.org/sites/default/files/2021-10/b-7_livingsober_50-63.pdf,50,63,50,63,FALSE
4,Pages 63-71,https://www.aa.org/sites/default/files/2021-10/b-7_livingsober_63-71.pdf,63,71,63,71,FALSE
5,Pages 72-85,https://www.aa.org/sites/default/files/2021-10/b-7_livingsober_72-85.pdf,72,85,72,85,FALSE
6,Page 87 (Twelve Steps),https://www.aa.org/sites/default/files/2021-10/b-7_livingsober_87_twelvesteps.pdf,87,87,87,87,FALSE
7,Pages 89-92,https://www.aa.org/sites/default/files/2021-10/b-7_livingsober_89-92.pdf,89,92,89,92,FALSE
